"attribute"	"validity"	"ontology"	"desription"
"resistance to gentamicin"	"logical"	PHIPO_0000659	"A growth phenotype which describes the resistance of individuals or populations after exposure to gentamicin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to imipenem"	"logical"	PHIPO:0000643	"A growth phenotype which describes the resistance of individuals or populations after exposure to imipenem. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to isoniazid"	"logical"	PHIPO:0000538	"A growth phenotype which describes the resistance of individuals or populations after exposure to isoniazid. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to kanamycin A"	"logical"	PHIPO_0000616	"A growth phenotype which describes the resistance of individuals or populations after exposure to kanamycin A. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to levofloxacin"	"logical"	PHIPO:0000670	"A growth phenotype which describes the resistance of individuals or populations after exposure to levofloxacin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to meropenem"	"logical"	PHIPO:0000604	"A growth phenotype which describes the resistance of individuals or populations after exposure to meropenem. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to methicillin"	"logical"	PHIPO:0000649	"A growth phenotype which describes the resistance of individuals or populations after exposure to methicillin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to ofloxacin"	"logical"	PHIPO:0000665	"A growth phenotype which describes the resistance of individuals or populations after exposure to ofloxacin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to penicillin"	"logical"	PHIPO:0000692	"A growth phenotype which describes the resistance of individuals or populations after exposure to penicillin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to piperacillin"	"logical"	PHIPO:0000519	"A growth phenotype which describes the resistance of individuals or populations after exposure to piperacillin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow"
"resistance to rifampicin"	"logical"	PHIPO:0000606	"A growth phenotype which describes the resistance of individuals or populations after exposure to rifampicin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to streptomycin"	"logical"	PHIPO:0000644	"A growth phenotype which describes the resistance of individuals or populations after exposure to streptomycin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to tetracycline"	"logical"	PHIPO:0000555	"A growth phenotype which describes the resistance of individuals or populations after exposure to tetracycline. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to tobramycin"	"logical"	PHIPO:0000685	"A growth phenotype which describes the resistance of individuals or populations after exposure to tobramycin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"resistance to trimethoprim"	"logical"	PHIPO:0000588	"A growth phenotype which describes the resistance of individuals or populations after exposure to trimethoprim. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."
"sensitive to amikacin"	"logical"	PHIPO:0000755	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to amikacin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to aztreonam"	"logical"	PHIPO:0000750	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to aztreonam. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"not resistant to beta-lactam"	"logical"	OMP:0006046	"A beta-lactam compound resistance phenotype where an organism or cell is sensitive to one or more beta-lactam compounds."
"sensitive to capreomycin"	"logical"	PHIPO:0000853	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to capreomycin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to carbapenems"	"logical"	PHIPO:0000819	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to carbapenems. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to cefoxitin"	"logical"	PHIPO_0000877	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to cefoxitin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to chloramphenicol"	"logical"	PHIPO:0000726	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to chloramphenicol. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to ciprofloxacin"	"logical"	PHIPO:0000799	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to ciprofloxacin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to clindamycin"	"logical"	PHIPO:0000889	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to clindamycin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to ertapenem"	"logical"	PHIPO_0000860	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to ertapenem. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to erythromycin A"	"logical"	PHIPO:0000871	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to erythromycin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to ethambutol"	"logical"	PHIPO:0000887	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to ethambutol. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to gentamicin"	"logical"	PHIPO:0000760	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to gentamicin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to imipenem"	"logical"	PHIPO:0000833	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to imipenem. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to isoniazid"	"logical"	PHIPO:0000817	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to isoniazid. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to kanamycin A"	"logical"	PHIPO:0000764	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to kanamycin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to levofloxacin"	"logical"	PHIPO:0000883	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to levofloxacin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to meropenem"	"logical"	PHIPO:0000845	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to meropenem. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to methicillin"	"logical"	PHIPO:0000765	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to methicillin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to ofloxacin"	"logical"	PHIPO:0000830	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to ofloxacin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to penicillin"	"logical"	PHIPO:0000815	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to penicillin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to piperacillin"	"logical"	PHIPO:0000842	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to piperacillin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to rifampicin"	"logical"	PHIPO:0000836	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to rifampicin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to streptomycin"	"logical"	PHIPO:0000779	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to streptomycin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to tetracycline"	"logical"	PHIPO:0000882	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to tetracycline. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"sensitive to trimethoprim"	"logical"	PHIPO:0000781	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to trimethoprim. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."
"waste water"	"logical"	ENVO:00002001	"Water that has been adversely affected in quality by anthropogenic influence"
"terrestrial biome"	"logical"	ENVO_00000446	"A biome which is primarily or completely situated on a landmass"
"water surface"	"logical"	ENVO:01001191	"The surface layer of a volume of water."
"sulfur spring"	"logical"	ENVO:00000126	"A spring whose water contains a significant amount of dissolved derivatives of sulfur."
"submarine"	"logical"	ERO_0001431	"An instrument that is designed to move across or through water and is capable of independent operation below the surface of the water."
"specialized"	"logical"	NCIT:C44274	"Developed or designed for a special activity or function"
"soil"	"logical"	ENVO:00001998	"Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms"
"volcanic field"	"logical"	ENVO_00000354	"A geothermal field which is prone to localized volcanic activity."
"hypersaline salinity"	"logical"	MICRO_0001293	"Culture medium salinity quality where the salinity is greater than 5 % salts."
"sludge"	"logical"	ENVO:00002044	"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes."
"sediment"	"logical"	ENVO:00002007	"Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid."
"sea water"	"logical"	ENVO:00002149	"Water which has physicochemical properties that have been determined by the processes occuring in a sea or ocean."
"saline water"	"logical"	ENVO:00002010	"Water which contains a significant concentration of dissolved salts."
"pond"	"logical"	ENVO:00000033	"A body of water, usually of smaller size than a lake."
"rhizosphere"	"logical"	ENVO:00005801	"The narrow region of soil that is directly influenced by root secretions and associated soil microorganisms"
"root nodule"	"logical"	ENVO:01000164	"Root nodules occur on the roots of plants that associate with symbiotic nitrogen-fixing bacteria"
"not host-associated"	"logical"	NA	NA
"multiple"	"logical"	NCIT_C17648	"Having, relating to, or consisting of more than one individual, element, part, or other component; manifold."
"mud"	"logical"	http://purl.obolibrary.org/obo/ENVO_01000001	"A liquid or semi-liquid mixture of water and some combination of soil, silt, and clay."
"human microbiome"	"logical"	OHMI:0000002	"A microbiome located in a human body"
"marine water body"	"logical"	ENVO_00001999	"A significant accumulation of water which is part of a marine biome."
"hydrothermal vent"	"logical"	ENVO:00000215	"A fissure in the Earths's surface from which geothermally heated water issues"
"hot spring"	"logical"	ENVO_00000051	"A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust"
"colonization of host"	"logical"	IDO:0000604	"An establishment of localization in host process in which an organism establishes itself in a host."
"fresh water"	"logical"	ENVO_00002011	"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride."
"groundwater"	"logical"	ENVO:01001004	"Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel."
"oil field production water"	"logical"	ENVO:00002194	NA
"rice paddies"	"logical"	ENVO:00000296	"A paddy field for the cultivation of rice"
"ocean trench"	"logical"	ENVO:00000275	"Hemispheric-scale long but narrow topographic depressions of the sea floor. They are the deepest parts of the ocean floor"
"dairy"	"logical"	ENVO:00003862	"A dairy is a building in which animal milk is harvested and, optionally, processed for human consumption."
"creosote contaminated soil"	"logical"	ENVO:00002117	"Soil which has elevated concentrations of creosote."
"aquatic biome"	"logical"	ENVO:00002030	"A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water."
"intestinal microflora"	"logical"	NCIT:C93019	"Bacteria and other organisms that live inside the intestines. They help digest food. Vitamins such as biotin and vitamin K are made by gut flora."
"air"	"logical"	ENVO:00002005	"The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth"
"horse blood agar"	"logical"	MICRO_0000096	"A solid microbiological culture medium (a blood agar), containing horse blood"
"10% salts"	"logical"	NA	NA
"20% salts"	"logical"	NA	NA
"30% salts"	"logical"	NA	NA
"5% salts"	"logical"	NA	NA
"5% sheep blood agar"	"logical"	NA	NA
"asp-2"	"logical"	NA	NA
"basal salts"	"logical"	NA	NA
"bg11"	"logical"	MICRO_0001348	"A liquid, mineral-salts microbiological culture medium. Used to support the autotrophic growth of cyanobacteria."
"c"	"logical"	NA	NA
"casitone-yeast extract agar"	"logical"	NA	NA
"charcoal-yeast extract"	"logical"	NA	NA
"conway"	"logical"	NA	NA
"defined microbiological culture medium"	"logical"	MICRO:0000068	"A chemically defined microbiological culture medium where all chemicals used are known. Does not contain any plant, animal, or microbiological cell extracts."
"defined medium plus 1 mM glycine betaine"	"logical"	NA	NA
"artificial seawater"	"logical"	MICRO_0001715	"An inorganic salts solution that mimics sea water."
"fildes enrichment"	"logical"	MICRO:0001597	"Blood medium ingredient comprised of a peptic digest of sheep (Ovis aries) or horse (Equus caballus) blood, serves as a source of hemin and NAD (nicotinamide adenine dinucleotide). Used in the cultivation of microorganisms."
"nutrient broth"	"logical"	MICRO_0000082	An organic-rich, liquid culture medium comprised of beef extract and peptone.
"gse"	"logical"	NA	"https://research.csiro.au/anaccmethods/wp-content/uploads/sites/337/2020/04/GSe_CSIRO_2020.pdf"
"heart infusion agar"	"logical"	MICRO_0000567	"An organic-rich, solid microbiological culture medium that contains (beef) heart infusion and tryptose. Used to grow a wide range of heterotrophic microorganisms."
"chocolate agar"	"logical"	MICRO_0000591	"A solid microbiological culture medium where blood has been been treated by heating in order to lyse the blood cells."
"brackish microbiological culture medium"	"logical"	MICRO:0000483	"A microbiological culture medium that has a salinity of greater than 0.05 % salts and less than 3% salts."
"lb agar"	"logical"	MICRO:0000563	"An organic-rich, solid microbiological culture medium containing tryptone, yeast extract, and sodium chloride. Used to cultivate Escherichia coli."
"medium 31 agar"	"logical"	NA	NA
"zobell marine agar"	"logical"	MICRO:0000112	"An organic-rich, mineral-salts, solid microbiological culture medium containing peptones and yeast extract in a base of artificial sea water. Used for the cultivation of heterotrophic marine microorganisms. Zobell Marine Agar 2216 Zobell Marine Agar 2216 is recommended for cultivation, isolation and enumeration of heterotrophic marine bacteria."
"DSMZ Medium 1000"	"logical"	MICRO_0001609	"A minerals-salts, liquid culture medium comprised of sodium chloride, potassium phosphate, calcium chloride, ammonium chloride, magnesium sulfate, magnesium chloride, potassium chloride, ferric sulfate, nickel chloride, sotium selenate, sodium silicate, and trace minerals. Prepared under at atmosphere of hydrogen and carbon dioxide."
"lb medium"	"logical"	MICRO_0000562	"An organic-rich, liquid microbiological culture medium containing tryptone, yeast extract, and sodium chloride. Used to cultivate Escherichia coli."
"modified shieh agar"	"logical"	NA	NA
"mrs agar"	"logical"	MICRO:0000554	"A slightly-acidic, organic-rich, solid microbiological culture medium containing peptones, egg extract, yeast extract, glucose, Tween 80, and minerals salts. Used for the cultivation of Lactobacilli."
"mueller-hinton"	"logical"	MICRO_0000557	"An organic-rich, solid microbiological culture medium containing beef extract, casein hydrolysate, and starch. Used for the cultivation of Neisseria."
"pyg medium"	"logical"	MICRO:0000547	"An organic-rich, liquid microbiological culture medium containing casitone and yeast extract. Used for the growth of Pseudarcicella sp"
"sm agar"	"logical"	MICRO_0000531	"A liquid microbiological culture medium containing gelatin, magnesium sulfate, and sodium chloride. Used for the storage and dilution of Escherichia coli bacteriophage lambda."
"staley pyg"	"logical"	NA	NA
"tryptic soy broth"	"logical"	MICRO:0000113	"An organic-rich, liquid culture medium comprised of pancreatic digest of casein (casitone), papaic digest of soybean (soy peptone), dextrose (D-glucose), sodium chloride, and dipotassium phosphate (potassium dibasic phosphate)."
"tryptic soy agar"	"logical"	MICRO:0000114	"An organic-rich, solid medium containing casitone (pancreatic digest of casein), Phytone peptone (papaic digest of soybean), and sodium chloride. Used for the cultivation of aerobic heterotrophic microorganisms."
"tryptic soy broth"	"logical"	MICRO:0000113	"An organic-rich, liquid culture medium comprised of pancreatic digest of casein (casitone), papaic digest of soybean (soy peptone), dextrose (D-glucose), sodium chloride, and dipotassium phosphate (potassium dibasic phosphate)."
"gram stain negative"	"logical"	MICRO:0000617	"A gram stain quality where microorganisms do not stain purple with Crystal Violet used in the Gram stain, but stain red due to uptake of the counter stain (Safranin or Fuchsin). Fuchsin is also called Magenta"
"gram stain positive"	"logical"	MICRO:0000616	"A gram stain quality where microorganisms stain purple with crystal violet used in the Gram stain."
"gram stain variable"	"logical"	MICRO:0000618	"Microorganisms that are not definitively stained Gram positive or Gram negative; may stain variably as either Gram positive or Gram negative."
"cell cluster"	"logical"	MICRO:0000372	"A multicellular relationship of prokaryotic cells where cells are attached to one another end-to-end and side-to-side to form clumps or sheets after dividing. This morphology forms as a result of cell division taking place in multiple planes."
"paired cells"	"logical"	MICRO_0000369	"A multicellular relationship of prokaryotic cells where two cells are attached to one another in pairs."
"palisade"	"logical"	MICRO_0000941	"A multicellular prokaryotic morphological quality where cells so that their long axes are stacked parallel to one another (like in a fence)"
"rosettes"	"logical"	NA	NA
"single"	"logical"	NCIT_C48440	"Not accompanied by another or others; exclusive of anyone or anything else"
"tetrads"	"logical"	MICRO:0000374	"A multicellular prokaryotic morphological quality where cells are attached to one another in multiples of four. Forms when cell division occurs in two planes at right angles to one another."
"unbranched"	"logical"	PATO:0000414	"A branchiness quality inhering in a bearer by virtue of the bearer's lacking branches."
"V-branched filaments"	"logical"	MICRO:0000127	"True-branched filaments, where an apical cell divides longitudinally, from which grows obliquely two equivalent branches."
"reverse Y-branched filaments"	"logical"	MICRO_0000128	"True-branched filaments, where branches arise in the intercalary (medial) cells after oblique cell division at an intercalary (medial cell)."
"bent filament"	"logical"	MICRO:0000389	"A filament shape where the filament has an appearance of being bent at an angle."
"clavate"	"logical"	PATO:0001883	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's gradually becoming thicker towards the end."
"coccobacillus"	"logical"	MICRO:0000366	"A prokaryotic cell, being a bacillus where the long axis of the cell is only slightly longer than the short axis of the cell."
"coccus"	"logical"	MICRO:0000402	"A prokaryotic cell that is spherical with no apparent long axis."
"discoid"	"logical"	PATO:0001874	"A shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter."
"dumbbell-shaped"	"logical"	PATO:0001876	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's having two parts, roughly spherical and of equal size, connected by a bar."
"filamentous"	"logical"	PATO:0001360	"A shape quality inhering in a bearer by virtue of the bearer's having thin filamentous extensions at its edge."
"flat"	"logical"	PATO:0000407	"A quality inhering in a bearer by virtue of the bearer's having a horizontal surface without a slope, tilt, or curvature."
"u-shaped"	"logical"	PATO_0001879	"A concave 3-D shape quality inhering in a bearer by virtue of the bearer's being shaped in the form of the letter U."
"pleiomorphic cell"	"logical"	MICRO:0000427	"A prokaryotic cell that is irregular in shape, where the shapes of the cells are irregular and variable (pleomorphic). Cell shapes may be variable in size and shape, depending on the environmental conditions."
"polyhedral shape"	"logical"	OMP:0005394	"A capsid morphology phenotype where the capsid is shaped like a polyhedron which is a solid formed by plane faces."
"sigmoid"	"logical"	PATO_0001878	"A shape quality inhering in a bearer by virtue of the bearer's consisting of two curves, in opposite directions. S-shaped"
"rectangle"	"logical"	SIO_000518	"A rectangle is a quadrilateral in which one pair of line segments are parallel and the other pair are perpendicular to the first pair."
"tetrahedral"	"logical"	ENM_9000065	NA
"triangle"	"logical"	SIO:000520	"A triangle is a polygon composed of three points and three line segments, in which each point is fully connected to another point along through the line segment."
"vibriod cells"	"logical"	MICRO_0000414	A prokaryotic cell, being a bacillus where the elongated axis of the cells is curved (but not spiral).
"wrinkled"	"logical"	PATO:0001810	"A grooved texture quality inhering in a bearer by virtue of the bearer's being marked by one or more creases in a normally smooth surface."
"animal pathogen"	"logical"	NA	NA
"extreme environment"	"logical"	NA	NA
"COGEM pathogenicity rating"	"integer"	NA	NA
"antimicrobial sensitivity"	"logical"	NA	NA
"biofilm formation"	"logical"	APO:0000159	"The ability to form a layer on solid surfaces with or without other microorganisms."
"Butyrate-Producing Bacteria"	"numeric"	NCIT:C126417	"Any anaerobic bacteria that metabolizes complex carbohydrates to produce butyrate. These microorganisms may form colonies in the intestines of mammals; their presence may aid the host by catabolizing undigested fiber and starch. Additionally, butyrate is metabolized by colonic epithelial cells and may protect the host against ulcerative colitis and cancer."
"acetate producing"	"numeric"	NA	NA
"lactate producing"	"numeric"	NA	NA
"mutation rate per site per year"	"numeric"	NA	NA
"mutation rate per site per generation"	"numeric"	NA	NA
"hydrogen gas producing"	"numeric"	NA	NA
"width"	"numeric"	PATO:0000921	"A 1-D extent quality which is equal to the distance from one side of an object to another side which is opposite."
"length"	"numeric"	PATO:0000122	"A 1-D extent quality which is equal to the distance between two points"
"fatty acid composition"	"logical"	NA	NA
"human urine"	"logical"	MCO:0000662	"No definition provided"
"v-formation"	"logical"	NA	NA
"extreme environment"	"logical"	NA	NA
"gut"	"logical"	"OHMI_0000020"	"A human being's gut microbiota contains tens of trillions of microorganisms, including at least 1000 different species of known bacteria with more than 3 million genes (150 times more than human genes). Microbiota can, in total, weigh up to 2 kg. One third of our gut microbiota is common to most people, while two thirds are specific to each one of us. In other words, the microbiota in your intestine is like an individual identity card. URL: http://www.gutmicrobiotaforhealth.com/en/about-gut-microbiota-info/"
"rumen"	"logical"	"NCIT:C98778"	"Largest forestomach of ruminants where bacterial fermentation occurs"
"Health associated"	"logical"	NA	NA
"shape"	"logical"	NA	NA
"Extreme environment"	"logical"	NA	NA
"mrs broth"	"logical"	NA	NA
"ZoBell marine agar"	"logical"	NA	NA
"growth temperature"	"numeric"	NA	NA
"oral"	"logical"	NA	NA
